,Code,Date,contact_tracing,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,debt_relief,income_support,testing_policy,international_travel_controls,restrictions_internal_movements,close_public_transport,public_information_campaigns,facial_coverings,stay_home_requirements,restriction_gatherings,cancel_public_events,workplace_closures,school_closures,holiday,temp,prcp,doctors_per_1000,nurses_per_1000,beds_per_1000,number_of_arrivals,urban_population,total_vaccinations_per_100,youth_unemployment,life_expectancy,%df_population_gr_65,UN Population Division (Median Age) (2017),excess_mortality_week_n,infections_value,month,average_deaths_2015_2019_all_ages,deaths_week_n,population,accumulated,reproduction_rate_week_n-1,reproduction_rate
659,COL,2020-10-04,0.0,-38.673571428571435,-14.918428571428572,14.0,-39.57142857142857,-30.244857142857143,-23.285714285714285,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,25.55436507936508,0.2302142857142857,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,41.05,37.98,10,4300.75,1765.4578749999998,50339443.0,0.08239023161221709,0.9071428571428571,0.9428571428571428
660,COL,2020-10-11,0.0,-40.816428571428574,-12.857,13.979571428571429,-35.81628571428571,-30.836714285714287,-22.530571428571427,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,25.450121654501213,0.12802919708029195,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,43.41,41.11,10,4300.75,1866.955575,50339443.0,0.08609896469255729,0.9428571428571428,0.9514285714285714
661,COL,2020-10-18,0.0,-37.877571428571436,-5.6532857142857145,12.204142857142857,-31.040857142857142,-28.87757142857143,-20.816285714285716,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,23.424731182795693,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,37.98,42.08,10,4300.75,1633.4248499999999,50339443.0,0.08934378575662826,0.9514285714285714,1.0342857142857143
662,COL,2020-10-25,0.0,-37.22457142857143,-7.836571428571429,11.306,-28.367428571428572,-27.061285714285713,-22.490000000000002,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,24.323809523809523,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,41.11,47.0,10,4300.75,1768.038325,50339443.0,0.09285601835125591,1.0342857142857143,1.0442857142857143
663,COL,2020-11-01,0.8571428571428571,-37.40828571428572,-7.775571428571429,12.387714285714285,-26.97957142857143,-28.836857142857145,-21.959285714285716,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.5714285714285714,1.0,3.0,0.0,24.022222222222222,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,42.08,38.14,11,5505.5,2316.7144,50339443.0,0.09745820356017845,1.0442857142857143,1.0371428571428571
664,COL,2020-11-08,2.0,-36.571285714285715,-6.734571428571429,12.387714285714285,-25.87757142857143,-28.326428571428572,-17.959285714285716,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,25.478114478114474,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,47.0,41.06,11,5505.5,2587.585,50339443.0,0.10259847696368035,1.0371428571428571,1.1
665,COL,2020-11-15,2.0,-36.32657142857143,-4.632857142857143,12.224428571428572,-26.285714285714285,-29.97942857142857,-19.449142857142856,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,23.444444444444446,0.015,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,38.14,37.68,11,5505.5,2099.7977,50339443.0,0.10676975414686254,1.1,1.0557142857142856
666,COL,2020-11-22,2.0,-34.83685714285714,-4.898000000000001,12.102142857142857,-25.34714285714286,-30.755142857142857,-19.22442857142857,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,23.871794871794876,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,41.06,39.67,11,5505.5,2260.5583,50339443.0,0.11126038448617717,1.0557142857142856,0.9542857142857143
667,COL,2020-11-29,2.0,-34.367285714285714,-7.306285714285714,11.87742857142857,-23.693857142857144,-31.755142857142857,-18.12242857142857,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,24.825000000000003,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,37.68,38.07,11,5505.5,2074.4724,50339443.0,0.11538135261051657,0.9542857142857143,0.9428571428571428
668,COL,2020-12-06,2.0,-31.306,-3.1225714285714288,11.244714285714284,-21.020285714285713,-28.653142857142857,-16.99985714285714,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,24.441269841269843,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,39.67,33.51,12,4650.599999999999,1844.8930199999998,50339443.0,0.1190462581200988,0.9428571428571428,1.0057142857142856
669,COL,2020-12-13,2.0,-26.612285714285715,2.8367142857142857,9.857285714285714,-15.632571428571428,-25.897714285714283,-11.591857142857142,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,25.212560386473427,0.07173913043478261,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,38.07,42.2,12,4650.599999999999,1770.4834199999998,50339443.0,0.12256334792977348,1.0057142857142856,1.0671428571428574
670,COL,2020-12-20,2.0,-21.898142857142858,9.897714285714287,8.408,-12.183714285714286,-19.469428571428573,-10.959285714285715,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,24.348148148148155,0.019111111111111113,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,33.51,42.33,12,4650.599999999999,1558.4160599999998,50339443.0,0.12565916299471172,1.0671428571428574,1.0071428571428573
671,COL,2020-12-27,2.0,-24.367428571428572,5.592,8.714285714285715,-14.632571428571428,-18.326428571428572,-12.673714285714285,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,23.801587301587308,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,42.2,47.47,12,4650.599999999999,1962.5531999999998,50339443.0,0.12955780207977272,1.0071428571428573,1.1014285714285716
672,COL,2021-01-03,2.0,-19.755142857142857,13.122428571428571,7.387714285714284,-8.367285714285714,-15.755142857142857,-7.285571428571428,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,23.791989664082692,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,42.33,59.32,1,5817.55,2462.568915,50339443.0,0.1344497293007394,1.1014285714285716,1.18
673,COL,2021-01-10,2.0,-26.509999999999998,9.57157142857143,9.265428571428572,-18.142714285714284,-17.244714285714284,-20.16342857142857,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,23.806349206349207,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,47.47,60.58,1,5817.55,2761.590985,50339443.0,0.1399356680009352,1.18,1.062857142857143
674,COL,2021-01-17,2.0,-37.71414285714286,-3.2245714285714286,12.102,-32.204142857142855,-20.551142857142857,-31.734571428571428,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,23.414414414414413,0.0005405405405405405,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,59.32,78.05,1,5817.55,3450.97066,50339443.0,0.14679106896355612,1.062857142857143,1.1042857142857143
675,COL,2021-01-24,2.0,-45.91842857142857,-14.510285714285715,15.510285714285715,-40.285714285714285,-31.77557142857143,-31.673285714285715,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,24.31649831649832,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,60.58,,1,5817.55,3524.27179,50339443.0,0.15379208363509309,1.1042857142857143,1.1428571428571428
676,COL,2021-01-31,2.0,-48.95928571428572,-19.244857142857143,14.551,-42.224428571428575,-39.34685714285714,-31.469285714285714,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,23.162551440329214,0.00018518518518518518,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,78.05,,1,5817.55,4540.597775,50339443.0,0.1628120439373952,1.1428571428571428,1.0614285714285714
677,COL,2021-02-07,2.0,-44.22457142857143,-16.32657142857143,12.653285714285715,-36.714285714285715,-38.204142857142855,-25.734714285714286,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,23.624031007751938,0.0065116279069767444,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,,,2,4285.75,,50339443.0,0.1628120439373952,1.0614285714285714,0.892857142857143
678,COL,2021-02-14,2.0,-37.203857142857146,-6.857285714285715,10.591857142857142,-28.244857142857143,-32.24485714285714,-20.245,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,24.300347222222218,0.0,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,,,2,4285.75,,50339443.0,0.1628120439373952,0.892857142857143,0.777142857142857
679,COL,2021-02-21,2.0,-33.142714285714284,-1.3267142857142857,9.265428571428572,-24.67342857142857,-29.77557142857143,-17.836714285714287,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,25.786398467432953,0.0001724137931034483,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,,,2,4285.75,,50339443.0,0.1628120439373952,0.777142857142857,0.7
680,COL,2021-02-28,2.0,-33.204,-2.5304285714285717,9.53042857142857,-23.97957142857143,-30.510142857142856,-16.591857142857144,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,24.583333333333332,0.0,2.18,1.33,1.71,3317000.0,80.446,0.0,20.0100002288818,77.109,8.76583000729666,32.200001,,,2,4285.75,,50339443.0,0.1628120439373952,0.7,0.7000000000000001
681,COL,2021-03-07,2.0,-30.224285714285713,2.7958571428571424,8.897857142857143,-20.081714285714288,-27.979714285714287,-14.367285714285714,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,25.090038314176248,0.027068965517241382,2.18,1.33,1.71,3317000.0,80.446,0.06999999999999999,20.0100002288818,77.109,8.76583000729666,32.200001,,,3,5383.65,,50339443.0,0.1628120439373952,0.7000000000000001,0.7700000000000001
